Date,Close,High,Low,Open,Volume
,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
2003-01-01,8.965813636779785,9.14463101597567,8.940862614364617,9.14463101597567,375040
2003-01-02,9.080174446105957,9.107205186343219,8.936705058407505,9.024034837182196,630780
2003-01-03,8.959572792053223,9.086408365325168,8.940859333813453,8.963731426459661,684220
2003-01-06,8.934621810913086,8.982444916991442,8.903432449341874,8.95749390364152,1818180
2003-01-07,9.051063537597656,9.065618366525603,8.922148998587822,8.940862463377853,1778020
2003-01-08,8.938785552978516,9.024035624383059,8.92007208397855,8.997004881787804,2430880
2003-01-09,8.897197723388672,8.953338116161067,8.795313130613883,8.899276644671206,3047720
2003-01-10,8.9367036819458,9.04066719726836,8.72877665130068,8.818185337932377,2843860
2003-01-13,9.032347679138184,9.123836057501238,8.963732188544371,8.972049458064372,1192260
2003-01-14,9.067695617675781,9.086409077382031,8.988683144118449,9.08432936342663,1159940
2003-01-15,9.04274845123291,9.292260295942128,8.984528333379124,9.123839880081288,2711680
2003-01-16,9.111361503601074,9.144629793433237,9.048983559313092,9.144629793433237,1312660
2003-01-17,9.302657127380371,9.814157510884671,9.127998363113196,9.148790752096442,3602720
2003-01-20,9.310973167419434,9.377509760838642,9.231961458470849,9.315131803655479,1939740
2003-01-21,9.408698081970215,9.481472225001278,9.269387352973986,9.335923938939152,2055380
2003-01-22,9.986736297607422,10.059511243491757,9.439888708582737,9.439888708582737,7874740
2003-01-23,9.826628684997559,10.123964328617186,9.760092115128122,10.063666107483215,2941380
2003-01-24,9.876531600952148,9.976336456685615,9.73514119036845,9.855739220116275,3036020
2003-01-27,9.899405479431152,9.959704505169608,9.77256987121531,9.897325765065755,3261600
2003-01-28,9.649894714355469,9.97634013143014,9.19037610728587,9.897327627428611,3831140
2003-01-29,9.539689064025879,9.9763353589617,9.439884219274218,9.9763353589617,638580
2003-01-30,9.4378080368042,9.637417800994392,9.315131053841306,9.485631159901098,1218720
2003-01-31,9.859896659851074,9.938909131528117,9.419091700034194,9.523055186332979,4006240
