Date,Close,High,Low,Open,Volume
,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
2003-01-01,46.36333465576172,46.613070911332606,46.13195796096003,46.17929562599571,32066112
2003-01-02,45.623321533203125,46.74399090587427,45.502559747354944,46.70099782320941,42260032
2003-01-03,46.37541198730469,46.60437816994259,45.88946855456619,46.27590618449938,60483072
2003-01-06,46.394737243652344,46.84300870078803,46.0537078973316,46.69133003310334,51750400
2003-01-07,45.92860794067383,47.065221751440994,45.76002730188295,46.79181421181313,57016320
2003-01-08,46.26285934448242,46.55606981666064,45.992353024734236,46.198615036993395,41112960
2003-01-09,46.3570671081543,46.50777875967616,46.14066293232516,46.37252556012579,31291392
2003-01-10,42.97476577758789,46.46913033432992,42.51925331246052,46.46913033432992,123995904
2003-01-13,41.51016616821289,42.69169733961194,41.21840386953029,42.69169733961194,77507200
2003-01-14,42.96945571899414,43.203733567610996,41.36960274540045,41.3971373741532,76166208
2003-01-15,44.555294036865234,44.72436050885195,43.29357416533021,43.55152318377825,93352256
2003-01-16,44.535972595214844,44.933038228234075,43.86115489832511,44.22778950953679,41649024
2003-01-17,44.635501861572266,45.114680980009,44.1118767335479,44.227808078445534,56276544
2003-01-20,43.755859375,44.53405116987342,43.6384798601162,44.53405116987342,25981632
2003-01-21,43.2138671875,43.92829561067007,43.11194615408295,43.851008088152945,29442688
2003-01-22,43.45394515991211,43.94762018368571,43.10711832481988,43.47423407926703,32516288
2003-01-23,42.7772102355957,43.358315052032715,42.60476144818723,43.184418066529915,31185280
2003-01-24,42.35647201538086,43.62012623510623,42.18112683714213,43.62012623510623,62248576
2003-01-27,41.49712371826172,41.976788493731924,41.17493039362151,41.87728268869304,39281216
2003-01-28,41.618377685546875,42.02220795541769,41.20392415160011,41.54109013731409,45866368
2003-01-29,40.60445022583008,41.928480184381506,40.38272976283749,41.928480184381506,50043776
2003-01-30,41.14883804321289,41.628988626973026,40.395770633725824,40.817469702706205,60421760
2003-01-31,41.54399108886719,41.83188531800958,40.69189398601764,40.69334218408984,31424896
2003-02-03,42.607181549072266,42.749680484018995,40.77160204806354,40.77160204806354,36261888
2003-02-04,42.580604553222656,42.97187272892442,42.084514206751834,42.88927355651246,32406528
2003-02-05,42.540504455566406,42.74966287965062,41.715942217928,42.31395350775367,33350848
2003-02-06,43.647159576416016,43.90607559695354,42.32699307812658,42.49847476192384,36238144
2003-02-07,43.35395431518555,43.74474126930172,43.13610198043997,43.474234918696496,31858560
2003-02-10,41.593746185302734,43.2781327148081,41.428061939188346,43.0878102311441,43655168
2003-02-11,40.9947624206543,42.17001516443152,40.8382532609762,41.909169709806164,54007296
2003-02-12,40.326229095458984,41.204407975573154,40.103060342058356,41.05901265296405,56339200
2003-02-13,40.326229095458984,40.326229095458984,40.326229095458984,40.326229095458984,0
2003-02-14,40.10208511352539,40.98171190867973,39.80404413886649,40.38273356395126,54123776
2003-02-17,41.15898513793945,41.46958340390839,40.78124145457153,41.16864607757927,51686720
2003-02-18,40.996212005615234,41.51742177226436,40.69189229825648,41.4454458593353,43271296
2003-02-19,40.940181732177734,41.87052869467415,40.672571713100645,41.300533034086754,48530816
2003-02-20,41.07349395751953,41.19811916296905,40.28709424046468,40.76917429159883,38198592
2003-02-21,40.816505432128906,41.30824634635884,40.63488164271685,41.00103033396339,35078080
2003-02-24,40.72038650512695,41.26188037923017,40.58754856197209,41.071076788153185,28459904
2003-02-25,39.84269332885742,40.361483103216074,39.754777809933266,40.33588254941442,35228864
2003-02-26,39.46929931640625,40.17986214954067,39.33936010409464,40.044608946825214,36492416
2003-02-27,39.66154479980469,40.2281580420319,39.323409508546575,39.44948525943852,44340608
2003-02-28,41.400997161865234,42.17000903759432,39.70695015088995,42.17000903759432,66299904
2003-03-03,40.79670715332031,41.73526666271218,40.62908887732316,41.601461681464905,44389248
2003-03-04,40.12141418457031,40.53731588413358,39.96732026040529,40.474038595859845,30929984
2003-03-05,40.373077392578125,40.516057450018536,39.53450713916404,39.707439419458886,40163584
2003-03-06,39.588600158691406,40.373070415475794,39.465906685866514,40.373070415475794,37748800
2003-03-07,38.85727310180664,39.252407041720666,38.56889540051916,39.17511950631979,38211200
2003-03-10,39.0113639831543,39.346114651414354,34.63447411212633,34.63447411212633,46785024
2003-03-11,39.868770599365234,40.04170522213432,38.692069838010724,38.817662074688414,45810944
2003-03-12,38.886253356933594,40.07310329605415,38.750035499971524,39.72192713684021,45766912
2003-03-13,39.27463150024414,39.687153288847966,38.77129543353344,39.045184107203696,43299264
2003-03-14,39.27463150024414,39.27463150024414,39.27463150024414,39.27463150024414,0
2003-03-17,38.98480987548828,39.35868795651582,38.22159525875663,39.24275662232874,45345088
2003-03-18,38.98480987548828,38.98480987548828,38.98480987548828,38.98480987548828,0
2003-03-19,40.46195983886719,40.643583664560985,39.1074938612177,39.136476687695875,61463040
2003-03-20,42.13039016723633,42.508133845542154,40.23781306060979,40.23781306060979,71270784
2003-03-21,42.62794494628906,42.99119735503251,41.80628361183349,42.18933906728696,55244672
2003-03-24,42.29030227661133,43.05882850447846,42.08307313563118,42.87913399805104,55051712
2003-03-25,41.191837310791016,41.783569948794174,40.91698165162415,41.783569948794174,53456768
2003-03-26,41.1536750793457,41.80965675493219,40.98171221438216,41.63865621027514,36913088
2003-03-27,41.443023681640625,41.61836882591511,40.74163838728608,41.01069655074642,41770816
2003-03-28,41.26332473754883,41.54204381215836,40.87543892307954,41.155606195301075,34597248
2003-03-31,39.154354095458984,40.76917978742655,38.7500426842104,40.587070066962525,46685696
2003-04-01,39.20940399169922,40.16052295340223,38.78866963144334,38.78866963144334,51766784
2003-04-02,39.925785064697266,40.3151192201067,39.13020302603022,39.41906666614914,43910656
2003-04-03,41.49229431152344,41.7352660395757,40.289021253107265,40.575471933873864,75072832
2003-04-04,41.495670318603516,41.67729409907783,40.732456078031625,41.37780496670151,53412800
2003-04-07,42.34294128417969,42.50814433402008,41.38312576354995,41.551711086504625,46957184
2003-04-08,40.889923095703125,41.94103134059371,40.70395002551003,41.94103134059371,46038592
2003-04-09,40.11174774169922,40.55469813339269,39.82771228925356,40.55469813339269,46810240
2003-04-10,29.463449478149414,39.60985092562098,29.166375596207253,39.60985092562098,211021376
2003-04-11,25.633859634399414,27.900801142396187,22.220167114789206,27.900801142396187,276615040
2003-04-14,25.633859634399414,25.633859634399414,25.633859634399414,25.633859634399414,0
2003-04-15,27.62738800048828,28.149078729410736,26.567583417347294,26.567583417347294,151209472
2003-04-16,29.219526290893555,29.407914706391136,27.376217630606842,27.376217630606842,115537088
2003-04-17,28.629222869873047,28.770273508834094,27.243845297149814,27.77519688982472,98323200
2003-04-18,28.629222869873047,28.629222869873047,28.629222869873047,28.629222869873047,0
2003-04-21,28.331695556640625,29.36928037376175,28.211898392569793,29.224366161391217,56817536
2003-04-22,28.207046508789062,28.538417227948177,27.659271673532714,28.47755283322459,60418304
2003-04-23,27.852495193481445,28.750962780367942,27.68149699544485,28.615709595245242,48633472
2003-04-24,27.995956420898438,28.963498635673638,27.533679490216766,27.69694843567248,75865728
2003-04-25,28.11237144470215,28.374183890857626,27.45204753848304,27.72690083989152,35400448
2003-04-28,27.94765281677246,28.277572993142147,27.726899381728035,28.115752238910808,38235776
2003-04-29,27.7012996673584,28.499777911130284,27.40132931556934,28.403168494482387,43982080
2003-04-30,26.921175003051758,27.620626080671144,26.596566491811004,27.53367762501321,51476352
2003-05-01,26.921175003051758,26.921175003051758,26.921175003051758,26.921175003051758,0
2003-05-02,28.153913497924805,28.306556835864313,27.147243927910825,27.231293642011824,63601792
