date,open,high,low,close,volume
2022-01-03,3326.263417742371,3397.2237039875417,3321.828399852048,3386.35791015625,2346158
2022-01-04,3398.1994545927564,3449.689838451158,3380.9914554484494,3445.787109375,2488606
2022-01-05,3428.2686771738076,3432.703694867435,3381.6122044154104,3424.67626953125,1733031
2022-01-06,3381.257344785918,3401.658425302727,3345.777204756685,3377.221435546875,1810293
2022-01-07,3388.353496871756,3428.1798688915587,3367.4201268665024,3418.068115234375,2460591
2022-01-10,3528.5004828256165,3528.5004828256165,3424.721056860157,3441.441162109375,3937092
2022-01-11,3420.285327633747,3481.488566120969,3420.285327633747,3473.416748046875,1906106
2022-01-12,3481.4888900484816,3485.0369042039447,3403.0334703465164,3423.744873046875,3203744
2022-01-13,3475.2800304751445,3479.715048380294,3421.1728120323205,3457.451171875,6684507
2022-01-14,3439.6669332386305,3527.6132519299485,3423.8782261400397,3519.76318359375,3348123
2022-01-17,3541.539286003683,3586.1556110947845,3514.5744627618396,3565.00048828125,3442604
2022-01-18,3578.127494703116,3585.001771384683,3530.273702275697,3539.676025390625,2389041
2022-01-19,3564.91152862164,3564.91152862164,3474.722465771417,3478.409912109375,3102539
2022-01-20,3474.2784062499186,3483.1640287722967,3386.310743278373,3400.1279296875,6176776
2022-01-21,3382.756324156083,3422.3418138894167,3350.8570276785663,3406.30322265625,3112358
2022-01-24,3412.078809123836,3420.6533474824882,3323.311533128875,3351.0791015625,3258414
2022-01-25,3349.434456895731,3384.8879938998243,3307.405430935319,3349.789794921875,3330501
2022-01-27,3315.225405503914,3317.35786790561,3221.1267599154967,3242.58544921875,5718297
2022-01-28,3239.6979015769352,3314.1594600905173,3239.6979015769352,3278.839111328125,3143862
2022-01-31,3331.219548435409,3339.216607900845,3306.695145967757,3319.890380859375,2739393
2022-02-01,3349.8799097759156,3383.6452775667603,3320.0241293766635,3377.1142578125,2105169
2022-02-02,3401.3270359319927,3433.4042169687295,3377.1137168552855,3426.473388671875,1984212
2022-02-03,3421.853466093333,3449.843178942447,3390.7982566523374,3398.3955078125,1960538
2022-02-04,3390.1316781159926,3398.4840766951115,3348.991201555373,3389.776123046875,2307366
2022-02-07,3368.539455877154,3404.7928386994317,3337.572975002385,3357.876708984375,1919149
2022-02-08,3369.028014039471,3376.2697091125106,3306.33990816381,3326.2880859375,2946443
2022-02-09,3332.1082913026003,3356.9435617136155,3328.642985453299,3341.482666015625,1638721
2022-02-10,3367.4729203279344,3367.4729203279344,3339.216600228163,3350.1904296875,2112459
2022-02-11,3334.329421359059,3334.329421359059,3278.794287758808,3283.192626953125,3851488
2022-02-14,3309.0061948129396,3370.539137613905,3296.566321900109,3317.669677734375,5951745
2022-02-15,3364.096462084056,3407.63600953311,3330.331098756218,3392.352783203125,3931683
2022-02-16,3415.632998084702,3424.6075628189806,3381.867635460556,3388.176513671875,3256906
2022-02-17,3398.750205079547,3407.6358265307354,3357.8763464040803,3362.496826171875,3134372
2022-02-18,3348.9908552959514,3390.708806246124,3338.8613332210016,3371.115966796875,3688883
2022-02-21,3385.421786187314,3401.238235819317,3292.6115131522834,3304.91796875,7465922
2022-02-22,3243.2521466798876,3259.1573238584433,3172.1671681225203,3186.739501953125,5408531
2022-02-23,3208.5978033646575,3219.1716057796148,3159.415803432267,3166.65771484375,2426203
2022-02-24,3086.8649517934127,3095.617375865612,3013.203235313269,3022.577392578125,5039136
2022-02-25,3081.5340997346093,3136.624963109334,3076.202725859636,3128.40576171875,2549723
2022-02-28,3101.081796727202,3166.6132530334003,3070.7817416818107,3158.12744140625,3288942
2022-03-02,3156.617065851155,3173.8995564350007,3115.2989255099646,3150.974609375,2761341
2022-03-03,3165.813577954369,3179.8084310877025,3136.7131690580727,3149.41943359375,1928039
2022-03-04,3111.3005151866846,3164.347634660531,3098.4608348995284,3131.604248046875,2370257
2022-03-07,3065.5398009688843,3152.6189025616236,3049.1458706374888,3096.550537109375,3054130
2022-03-08,3074.424596967392,3206.820338281884,3074.424596967392,3198.77880859375,3300992
2022-03-09,3203.2661284631563,3246.805668073335,3196.202103688731,3227.79052734375,2719654
2022-03-10,3273.46334667686,3273.46334667686,3212.152551095779,3217.439453125,2005441
2022-03-11,3201.7113065266467,3234.232765344657,3192.470347692051,3198.068115234375,1623423
2022-03-14,3181.0525657618205,3241.7858768007827,3181.0525657618205,3237.031982421875,1765688
2022-03-15,3251.2492982969325,3251.2492982969325,3185.8510294094035,3193.40380859375,3651133
2022-03-16,3234.81061397706,3259.2460739095877,3213.2629811274664,3248.494384765625,3090475
2022-03-17,3284.6588462421337,3296.565491973189,3252.4039976373524,3263.466552734375,3600452
2022-03-21,3284.1257408719225,3300.075388245015,3212.1522059664503,3222.54833984375,2413831
2022-03-22,3234.3665883396307,3297.4545080572443,3221.038154596473,3288.5244140625,2907611
2022-03-23,3294.788167557653,3314.15886414101,3278.794050239412,3298.69775390625,1596195
2022-03-24,3287.6801846115463,3339.394461966447,3283.2373735512606,3331.97509765625,1879046
2022-03-25,3340.904847554434,3358.320753023483,3262.80031885229,3294.2998046875,1690133
2022-03-28,3283.2375195886357,3299.2316401170783,3253.2040720983982,3294.522216796875,1760990
2022-03-29,3283.0149923595486,3307.228310863317,3279.6828843085714,3292.433837890625,2689063
2022-03-30,3321.445538331854,3321.445538331854,3293.189216689556,3315.71435546875,1583455
2022-03-31,3323.2229382978535,3336.2402889696646,3305.62936170827,3323.178466796875,2168110
2022-04-01,3330.330769870303,3343.6592014466246,3312.603999260616,3339.8828125,1387014
2022-04-04,3342.7708488713006,3358.7649677654217,3320.645737841415,3350.1904296875,1472994
2022-04-05,3351.656990234055,3408.1696391972414,3351.656990234055,3389.6875,2314947
2022-04-06,3384.799946643338,3384.799946643338,3315.358682300862,3336.862060546875,2051729
2022-04-07,3328.1090702238885,3328.1090702238885,3269.0196954622043,3273.595703125,2494829
2022-04-08,3278.7942871496307,3292.1227192112146,3236.587585621282,3274.928955078125,2296773
2022-04-11,3278.794489914239,3298.6539416877777,3248.672318365914,3284.481201171875,2291660
2022-04-12,3272.574288568642,3322.333767297896,3241.78569787856,3279.771728515625,4483476
2022-04-13,3293.89988537501,3296.432374272563,3248.1834062092184,3253.8701171875,1621672
2022-04-18,3207.709972663973,3207.709972663973,3129.960769725442,3134.892333984375,3820792
2022-04-19,3154.3953189467165,3166.4353782692338,3055.8981276363893,3084.99853515625,3170014
2022-04-20,3109.9673730989402,3171.4113559966663,3092.1961309669464,3160.437744140625,2640370
2022-04-21,3181.052302537518,3237.9202766610933,3169.8563333582965,3224.28076171875,2280996
2022-04-22,3182.029620635388,3213.9289112222373,3173.4993382444623,3209.974853515625,1581465
2022-04-25,3161.5038501242684,3184.6064639812757,3139.378741319467,3152.7958984375,1960694
2022-04-26,3176.743043452235,3188.0722114341042,3126.094998356819,3151.108154296875,1943469
2022-04-27,3150.8417973252986,3170.7899768233965,3115.565918728537,3164.347900390625,1727648
2022-04-28,3188.1606831223926,3202.7330141868824,3143.777051447349,3184.873046875,1703660
2022-04-29,3196.158346677765,3219.4831052544378,3142.7114152271593,3151.463623046875,2051115
2022-05-02,3127.6501716746743,3152.5743861315545,3103.5257934019173,3147.642822265625,1324161
2022-05-04,3144.1766505372602,3150.3521130770323,3079.133955244035,3091.9736328125,2305825
2022-05-05,3120.719554345007,3139.290418532952,3096.950514238651,3121.87451171875,1612262
2022-05-06,3073.536813981293,3087.309528817,3042.8814164437517,3050.078857421875,2010812
2022-05-09,3019.3341828755033,3070.8707875272926,2973.8843157191677,3061.185546875,2481830
2022-05-10,3051.3227863163397,3078.6905471809036,3040.660039247092,3055.54345703125,1622685
2022-05-11,3052.2108543548047,3064.161971372953,3005.25025996758,3031.77392578125,1841769
2022-05-12,3001.5630194609157,3065.2728838583857,2976.772221615572,3028.79736328125,2807195
2022-05-13,3052.2105250928867,3056.564392197842,3005.249935771608,3034.350341796875,2187823
2022-05-16,3034.439858212196,3047.7682909715472,2991.433535282342,3000.496826171875,1195813
2022-05-17,2994.454423948811,3080.644951878495,2977.0385191605064,3066.961181640625,1754076
2022-05-18,3078.8680530656147,3105.5249193259233,3059.3641559719827,3064.473388671875,1866781
2022-05-19,3018.445930591596,3025.5544285146852,2870.056036447117,2898.445556640625,4642963
2022-05-20,2941.140712780899,2944.6060183878694,2905.6426983201104,2926.03515625,3065125
2022-05-23,2936.5204567843207,2966.820298209671,2902.932761610268,2951.58154296875,2293690
2022-05-24,2945.716906382836,2954.3361333164494,2910.5744447313305,2921.592529296875,1711510
2022-05-25,2945.610802185031,2945.610802185031,2821.4475663720973,2833.61328125,3548046
2022-05-26,2854.50145711165,2899.6761119484217,2845.153478156193,2886.660400390625,2813186
2022-05-27,2910.1425040806,2933.1323360554616,2888.6733595010373,2917.388427734375,3103153
2022-05-30,2949.3231893846983,3029.4747349681716,2939.7963456033503,3019.321533203125,2094624
2022-05-31,3000.446485475332,3026.612000510551,2974.3705125505267,3009.571044921875,4840965
2022-06-01,3030.7269440021355,3030.7269440021355,2987.833434858042,3001.3857421875,1493835
2022-06-02,3001.2069020116674,3070.0870604184925,2993.424382338286,3062.0361328125,2657939
2022-06-03,3094.5977259894203,3110.6102582693384,3069.371528604616,3077.377685546875,1913622
2022-06-06,3057.5638450567494,3088.8730125748843,3021.0214864667005,3069.148193359375,1084210
2022-06-07,3042.4012031637467,3058.3241943557528,3002.1017895151595,3008.09521484375,2308256
2022-06-08,3023.7051726580758,3053.940927115839,2993.6037313859933,3045.17431640625,2185707
2022-06-09,3028.043319910622,3074.5597904085103,2999.5073417133417,3065.703857421875,1279197
2022-06-10,3025.359920942585,3035.1999443400923,2998.5234934948394,3005.59033203125,1527582
2022-06-13,2943.0610119505754,2945.7446542107127,2855.7978674460373,2880.0849609375,3030921
